Date,Open,High,Low,Close,Adj Close,Volume
2018-07-01,67625.000000,75975.000000,66850.000000,75150.000000,65387.179688,14187500
2018-08-01,75500.000000,77425.000000,70600.000000,73000.000000,66004.507813,18806600
2018-09-01,73500.000000,75725.000000,69950.000000,74050.000000,66953.890625,16376500
2018-10-01,73800.000000,80250.000000,71200.000000,72300.000000,65371.585938,22864200
2018-11-01,73100.000000,84200.000000,71700.000000,82000.000000,74142.046875,24344500
2018-12-01,84350.000000,84525.000000,78000.000000,83625.000000,75611.320313,17339600
2019-01-01,83625.000000,86650.000000,80525.000000,83650.000000,75633.929688,20297200
2019-02-01,83650.000000,87050.000000,80175.000000,85400.000000,77216.234375,17736800
2019-03-01,86000.000000,100975.000000,80500.000000,83200.000000,75227.054688,22347500
2019-04-01,83200.000000,85250.000000,75025.000000,84475.000000,76379.875000,34658700
2019-05-01,84475.000000,85125.000000,76800.000000,80475.000000,72763.187500,28321300
2019-06-01,80475.000000,80675.000000,75825.000000,76875.000000,69508.171875,19334400
2019-07-01,77050.000000,80050.000000,73950.000000,75500.000000,68264.929688,35490900
2019-08-01,75500.000000,77000.000000,68750.000000,69475.000000,64976.972656,30726200
2019-09-01,69500.000000,74800.000000,50400.000000,52375.000000,48984.078125,67667700
2019-10-01,52900.000000,56800.000000,49175.000000,56100.000000,52467.914063,47868800
2019-11-01,55875.000000,55875.000000,49225.000000,50375.000000,47113.566406,27875400
2019-12-01,50200.000000,54025.000000,50200.000000,53000.000000,49568.617188,21819900
2020-01-01,53000.000000,59075.000000,52600.000000,55775.000000,52163.957031,29375600
2020-02-01,55700.000000,57000.000000,50025.000000,51000.000000,47698.101563,18743100
2020-03-01,50850.000000,52900.000000,30625.000000,41100.000000,38439.058594,29225500
2020-04-01,41100.000000,53025.000000,39850.000000,45300.000000,42367.136719,25651600
2020-05-01,45300.000000,51500.000000,43475.000000,48750.000000,45593.773438,21558500
2020-06-01,48750.000000,49800.000000,45800.000000,47175.000000,44120.746094,24664400
2020-07-01,47225.000000,50600.000000,46500.000000,49975.000000,46739.464844,26629700
2020-08-01,49975.000000,55000.000000,47175.000000,47500.000000,44424.703125,37553500
2020-09-01,47500.000000,48350.000000,39700.000000,40050.000000,37457.039063,37211900
2020-10-01,40450.000000,44900.000000,39800.000000,40975.000000,38322.152344,37910000
2020-11-01,40975.000000,45300.000000,40325.000000,42250.000000,39514.605469,43629000
2020-12-01,42500.000000,49975.000000,40825.000000,41000.000000,38345.531250,81165900
2021-01-01,41000.000000,41800.000000,37400.000000,37725.000000,35282.566406,38138600
2021-02-01,37725.000000,40700.000000,36325.000000,36500.000000,34136.875000,26377500
2021-03-01,36650.000000,38775.000000,35600.000000,36175.000000,33832.917969,38208600
2021-04-01,37000.000000,38550.000000,36000.000000,36100.000000,33762.773438,18175300
2021-05-01,36100.000000,36200.000000,32750.000000,33150.000000,31003.765625,21685500
2021-06-01,33200.000000,44750.000000,32825.000000,44200.000000,41338.355469,58689600
2021-07-01,44200.000000,47250.000000,32800.000000,32800.000000,30676.425781,55862700
2021-08-01,33700.000000,33800.000000,29925.000000,33075.000000,33072.648438,21954100
2021-09-01,33075.000000,33700.000000,31025.000000,32550.000000,32547.687500,10590600
2021-10-01,32500.000000,36050.000000,31925.000000,33500.000000,33497.621094,20865100
2021-11-01,33525.000000,34350.000000,31400.000000,31400.000000,31397.769531,16938100
2021-12-01,31700.000000,32450.000000,30475.000000,30600.000000,30597.826172,10979200
2022-01-01,30600.000000,32275.000000,30500.000000,30625.000000,30622.824219,12356000
